sesja	deutsch	polski	typ	beispiel_de	przyklad_pl	uwaga
1	die Bibliothek, -en	biblioteka	rzeczownik	Nach der Uni gehe ich in die Bibliothek.	Po uczelni idę do biblioteki.	in + Akk. (dokąd) / in + Dat. (gdzie)
1	die Prüfung, -en	egzamin	rzeczownik	Ich lerne für die Prüfung.	Uczę się do egzaminu.	Końcówka -ung zawsze żeńska
1	sich treffen (mit + D)	spotykać się (z kimś)	czasownik	Ich treffe mich mit Freunden.	Spotykam się z przyjaciółmi.	mit + Dativ; l.mn. dostaje -n: Freunden
1	normalerweise	zwykle	przyslowek	Normalerweise stehe ich um sieben auf.	Zwykle wstaję o siódmej.	Na początku zdania czasownik zostaje na 2. miejscu
1	irgendwohin	gdzieś (kierunek)	przyslowek	Bist du irgendwohin gefahren?	Pojechałeś gdzieś?	Kierunek — nie mylić z irgendwo (miejsce)
2	der Kommilitone, -n	kolega ze studiów	rzeczownik	Ich lerne mit meinen Kommilitonen.	Uczę się z kolegami z roku.	Odmiana słaba: -n we wszystkich przypadkach poza Nom. lp.
2	lernen	uczyć się (do czegoś)	czasownik	Ich lerne viel für die Prüfung.	Dużo się uczę do egzaminu.	NIE studieren — to luka Active #6
2	studieren	studiować (być na studiach)	czasownik	Ich studiere Medizin.	Studiuję medycynę.	Tylko o kierunku studiów, nigdy o nauce do egzaminu
2	vor sich haben	mieć przed sobą	zwrot	Ich habe eine schwierige Prüfung vor mir.	Mam przed sobą trudny egzamin.	Rozdzielnie złożone
2	am liebsten	najchętniej	zwrot	Am liebsten lerne ich abends.	Najchętniej uczę się wieczorem.	Stopień najwyższy od gern
2	der Alltag	codzienność	rzeczownik	Erzähl mir von deinem Alltag.	Opowiedz mi o swojej codzienności.	Bez liczby mnogiej
2	die Lernroutine, -n	rutyna nauki	rzeczownik	Ich habe keine feste Lernroutine.	Nie mam stałej rutyny nauki.	
