biblioteka	die Bibliothek, -en
egzamin	die Prüfung, -en
spotykać się (z kimś)	sich treffen (mit + D)
przedmiot (na studiach)	das Fach, Fächer
codzienność	der Alltag
kolega ze studiów	der Kommilitone, -n
rutyna nauki	die Lernroutine, -n
uczyć się (do czegoś)	lernen
studiować (być na studiach)	studieren
zostać	bleiben
pamięć	das Gedächtnis
mózg	das Gehirn, -e
układ ruchu	der Bewegungsapparat
badać	erforschen
podróżować	reisen
spać	schlafen
przebywać	sich aufhalten
zdecydować się	sich entscheiden
trenować	trainieren
odciąć się, wyłączyć się	abschalten
piwo	das Bier, -e
weekend	das Wochenende, -n
towarzystwo	die Gesellschaft, -en
przyszłość	die Zukunft
odpoczywać	sich erholen
koncentrować się na	sich konzentrieren (auf + A)
rozmawiać (o czymś)	sprechen (über + A)
Apulia	Apulien
wyglądać	aussehen – sah aus – hat ausgesehen
praktyki	das Praktikum, Praktika
różnica	der Unterschied, -e
relaksować się	sich entspannen
przygotowywać się (do czegoś)	sich vorbereiten (auf + A)
mijać (o czasie)	vergehen – verging – ist vergangen
zapalić (świecę, spiralę)	anzünden – zündete an – hat angezündet
zapalniczka	das Feuerzeug, -e
dyżur, służba	der Dienst, -e
stan zapalny	die Entzündung, -en
przebrać się	sich umziehen – zog sich um – hat sich umgezogen
